epoch,train_loss
0,0.11698668205367468
1,0.08869868530047373
2,0.07794366746832052
3,0.07022356156240474
4,0.06370631244824958
5,0.05878868060948935
6,0.05365833934261391
7,0.05034619624210145
8,0.046666555369147364
9,0.04421801443158654
10,0.0400016465914373
11,0.037869038290001565
12,0.036287518540503445
13,0.03375567375764328
14,0.03155615025735581
15,0.030404434152372144
16,0.02951830945754607
17,0.028245207005291404
18,0.026812814768654696
19,0.026162986434185444
20,0.024871363531354176
21,0.024198935601686566
22,0.023144084354138745
23,0.022379340702387954
24,0.02190019293577251
25,0.02161856892813055
26,0.02146534504938311
27,0.020221487589064658
28,0.020299428878979363
29,0.01912972132236229
30,0.019243590703591162
31,0.018768526374367236
32,0.018446400723000266
33,0.018078679506488414
34,0.01748900083062562
35,0.017498200931079646
36,0.017127969824356735
37,0.01702328008729868
38,0.018090439466228757
39,0.016951785047437242
40,0.01641272802504233
41,0.016407016552791694
42,0.01589422523782352
43,0.016047307159848163
44,0.015547795359218986
45,0.015201277313802218
46,0.014968053188773325
47,0.014792545680246206
48,0.0146352254935188
49,0.014538878619362035
50,0.01455410625689079
51,0.014742275825436251
52,0.014198561566712942
53,0.013977681387968632
54,0.013857462281274362
55,0.013807137435968057
56,0.013687782362103463
57,0.013743510101125648
58,0.013372506281370634
59,0.013100674100837869
60,0.013193158176124405
61,0.013050722568223514
62,0.013158176422427973
63,0.013066030859252332
64,0.01310020442666013
65,0.012773907197147145
66,0.012831894259108472
67,0.01265614345245102
68,0.012591361117409302
69,0.012299110940199132
70,0.012325827058385383
71,0.012102959112027765
72,0.01223730995980878
73,0.012130614452141246
74,0.012024737158162916
75,0.012217561016583072
76,0.012129112526079533
77,0.011846490214950371
78,0.01157270792311955
79,0.011465896315718253
80,0.011567199215717574
81,0.011492250504580186
82,0.011360804699940386
83,0.011240921162763717
84,0.011004088394382458
85,0.010942955780291804
86,0.010884697920609015
87,0.011097916198286368
88,0.010784625673155093
89,0.01077057048581888
90,0.010629855726551207
91,0.010651587511514135
92,0.010295699505917149
93,0.01068870659840385
94,0.010595219160570072
95,0.010493961946527266
96,0.010367259975773683
97,0.01025294035267799
98,0.010070292362122956
99,0.010071853228839876
